Patrimonio;Prefixo;Material;Operacao;Tipo;Subtipo;Unidade;Unidade Agrupadora;Estado;Acautelado Para
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 1/6 - Cordeiro;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 1/6 - Cordeiro;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Capacete De Salvamento Terrestre (Laranja);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Capacete De Salvamento Terrestre (Laranja);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Capacete De Salvamento Terrestre (Laranja);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Capacete De Salvamento Terrestre (Laranja);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cinto Tático (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Corda De Prontidão - 50m a 100m;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Corda De Prontidão - 50m a 100m;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Corda De Prontidão - 50m a 100m;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Cotoveleira Tática De Tecido (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;Renovar cautela
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Malho;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Tesourão;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Tesourão;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;15º GBM - Petrópolis;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;15º GBM - Petrópolis;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;imprestavel;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 3/15 - Areal;15º GBM - Petrópolis;operando;-
-;-;Capacete De Salvamento Terrestre (Laranja);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;16º GBM - Teresópolis;16º GBM - Teresópolis;acautelado;1º Ten CARDINOT
-;-;Colete Tático De Busca E Salvamento Em Desastres (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Corda De Prontidão - 50m a 100m;PLUVIAM;OPERACIONAL;Salvamento;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;deposito;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;16º GBM - Teresópolis;16º GBM - Teresópolis;operando;-
-;-;Lanterna Tática Tipo Cotovelo (Anti-Explosão);PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Lanterna Tática Tipo Cotovelo (Anti-Explosão);PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
